site,treatment,sample_name,timepoint,rep,vial_name,CO2_ppm,CH4_ppm,CO2_ppm_corrected,CH4_ppm_corrected
PA,T1,PA-T1,1,c,PA-T1-1c,7853.99,65.76,6879.05,64.24
PA,T2,PA-T2,1,a,PA-T2-1a,7328.37,77.40,6353.43,75.89
PA,T2,PA-T2,1,b,PA-T2-1b,7169.38,33.79,6194.44,32.27
PA,T2,PA-T2,1,c,PA-T2-1c,6589.39,62.21,5614.45,60.69
PA,T3,PA-T3,1,a,PA-T3-1a,7375.93,10.72,6400.99,9.21
PA,T3,PA-T3,1,b,PA-T3-1b,8105.98,45.60,7131.04,44.08
PA,T3,PA-T3,1,c,PA-T3-1c,6066.22,53.37,5091.28,51.86
TO,T1,TO-T1,3,a,TO-T1-3a,9004.98,2485.51,8249.83,2483.34
TO,T1,TO-T1,3,b,TO-T1-3b,6694.37,1880.55,5939.21,1878.39
TO,T1,TO-T1,3,c,TO-T1-3c,8684.36,2374.34,7929.21,2372.18
TO,T2,TO-T2,3,a,TO-T2-3a,8822.26,1997.03,8067.10,1994.86
TO,T2,TO-T2,3,b,TO-T2-3b,8428.21,1925.10,7673.05,1922.94
TO,T2,TO-T2,3,c,TO-T2-3c,8748.44,1773.89,7993.28,1771.72
TO,T3,TO-T3,3,a,TO-T3-3a,8577.01,1450.52,7821.85,1448.35
TO,T3,TO-T3,3,b,TO-T3-3b,8068.94,1167.25,7313.78,1165.09
TO,T3,TO-T3,3,c,TO-T3-3c,7879.24,1127.75,7124.08,1125.58
PA,T1,PA-T1,3,a,PA-T1-3a,2296.53,18.48,1541.37,16.32
PA,T1,PA-T1,3,b,PA-T1-3b,8325.57,69.27,7570.41,67.11
PA,T1,PA-T1,3,c,PA-T1-3c,7578.55,123.90,6823.39,121.74
PA,T2,PA-T2,3,a,PA-T2-3a,7886.65,120.43,7131.50,118.27
PA,T2,PA-T2,3,b,PA-T2-3b,7481.67,70.88,6726.51,68.71
PA,T2,PA-T2,3,c,PA-T2-3c,7229.81,57.90,6474.66,55.73
PA,T3,PA-T3,3,a,PA-T3-3a,7659.36,86.19,6904.21,84.03
PA,T3,PA-T3,3,b,PA-T3-3b,8450.01,26.84,7694.86,24.67
PA,T3,PA-T3,3,c,PA-T3-3c,6350.15,63.35,5594.99,61.18
TO,T1,TO-T1,7,a,TO-T1-7a,10025.71,7514.77,8723.26,7512.54
TO,T1,TO-T1,7,b,TO-T1-7b,8701.08,6116.04,7398.63,6113.81
TO,T1,TO-T1,7,c,TO-T1-7c,9301.64,7106.25,7999.19,7104.02
TO,T2,TO-T2,7,a,TO-T2-7a,9050.49,4038.21,7748.03,4035.97
TO,T2,TO-T2,7,b,TO-T2-7b,8507.81,3595.80,7205.36,3593.56
TO,T2,TO-T2,7,c,TO-T2-7c,10134.54,4389.69,8832.09,4387.46
TO,T3,TO-T3,7,a,TO-T3-7a,8746.19,2255.68,7443.74,2253.45
TO,T3,TO-T3,7,b,TO-T3-7b,10664.86,2950.25,9362.41,2948.02
TO,T3,TO-T3,7,c,TO-T3-7c,9178.83,1540.44,7876.37,1538.21
PA,T1,PA-T1,7,a,PA-T1-7a,8380.99,168.02,7078.54,165.79
PA,T1,PA-T1,7,b,PA-T1-7b,7279.60,157.87,5977.14,155.64
PA,T1,PA-T1,7,c,PA-T1-7c,8361.19,225.10,7058.73,222.87
PA,T2,PA-T2,7,a,PA-T2-7a,931.88,3.06,-370.58,0.83
PA,T2,PA-T2,7,b,PA-T2-7b,9204.53,58.83,7902.08,56.60
PA,T2,PA-T2,7,c,PA-T2-7c,8969.29,118.87,7666.83,116.63
PA,T3,PA-T3,7,a,PA-T3-7a,7874.83,105.19,6572.38,102.95
PA,T3,PA-T3,7,b,PA-T3-7b,7666.38,39.80,6363.93,37.57
PA,T3,PA-T3,7,c,PA-T3-7c,7561.70,69.92,6259.25,67.69
