site,treatment,sample_name,timepoint,rep,vial_name,CO2_ppm,CH4_ppm,CH4_ppm_corrected,CO2_ppm_corrected,Temp_C,AFDM_g,CH4_avg,CO2_avg,AFDM_avg,CH4_production,CO2_production,AFDM_corrected_CH4_production,AFDM_corrected_CO2 production,AirV_mL,WaterV_mL,wCO2_uatm_medhs,wCO2_uatm_minhs,wCO2_uatm_maxhs,wCO2_umolm3_med,wCO2_uM_med,wCO2_mgL_med,CH4_avg,CO2_avg_mgL,CH4_production,CO2_production,AFDM_corrected_CH4_production,AFDM_corrected_CO2 production
TO,T2,TO-T2,3,c,TO-T2-3c,8748.4401,1773.8867,1771.7236,7993.2844,25,1.01,NA,NA,NA,16.0936,36.8002,15.9343,36.4359,15,15,18531.68289,18531.68289,18531.68289,757477.3497,757.4773497,33336.57816,,,248.8708,10446.3011,0.0075,0.3134
TO,T3,TO-T3,3,a,TO-T3-3a,8577.0061,1450.5174,1448.3544,7821.8504,25,0.98,1246.3413,7419.9057,1.01,19.7912,61.5879,20.1951,62.8448,15,15,18123.1311,18123.1311,18123.1311,740777.9096,740.7779096,32601.6358,17165.2394,30878.4878,251.3853,10241.5332,0.0077,0.3141
TO,T3,TO-T3,3,b,TO-T3-3b,8068.9378,1167.2494,1165.0863,7313.7821,25,1.02,NA,NA,NA,15.8569,54.5314,15.546,53.4622,15,15,16912.33153,16912.33153,16912.33153,691286.8161,691.2868161,30423.53278,,,234.5686,9554.1569,0.0077,0.3140
TO,T3,TO-T3,3,c,TO-T3-3c,7879.2404,1127.7464,1125.5833,7124.0847,25,1.03,NA,NA,NA,15.3083,51.8967,14.8624,50.3852,15,15,16460.25544,16460.25544,16460.25544,672808.3325,672.8083325,29610.29471,,,228.2898,9297.5113,0.0077,0.3140
TO,T1,TO-T1,7,a,TO-T1-7a,10025.7108,7514.7723,7512.5412,8723.2575,25,1.02,6910.1262,8040.3573,1.0267,44.5908,27.379,43.7165,26.8421,15,15,20271.3134,20271.3134,20271.3134,828584.2598,828.5842598,36465.99327,18643.8645,33538.3813,120.5359,4907.5040,0.0033,0.1346
TO,T1,TO-T1,7,b,TO-T1-7b,8701.0825,6116.0444,6113.8134,7398.6292,25,1.07,NA,NA,NA,36.265,19.4943,33.8926,18.219,15,15,17114.53433,17114.53433,17114.53433,699551.7989,699.5517989,30787.27467,,,101.7455,4139.4536,0.0033,0.1345
TO,T1,TO-T1,7,c,TO-T1-7c,9301.6387,7106.2549,7104.0239,7999.1854,25,0.99,NA,NA,NA,42.1591,23.069,42.585,23.302,15,15,18545.74582,18545.74582,18545.74582,758052.1679,758.0521679,33361.87591,,,110.2646,4487.6701,0.0033,0.1345
TO,T2,TO-T2,7,a,TO-T2-7a,9050.4883,4038.2053,4035.9743,7748.035,25,1.02,4005.6674,7928.4959,1,20.3749,14.3117,19.9754,14.0311,15,15,17947.21842,17947.21842,17947.21842,733587.5282,733.5875282,32285.18712,18377.2827,33058.8282,103.1800,4334.7849,0.0032,0.1343
TO,T2,TO-T2,7,b,TO-T2-7b,8507.815,3595.7957,3593.5646,7205.3616,25,0.99,NA,NA,NA,17.7416,11.0815,17.9208,11.1934,15,15,16653.94994,16653.94994,16653.94994,680725.541,680.725541,29958.73106,,,95.4819,4020.1302,0.0032,0.1342
TO,T2,TO-T2,7,c,TO-T2-7c,10134.5445,4389.6943,4387.4632,8832.0912,25,0.99,NA,NA,NA,22.4671,20.7644,22.6941,20.9742,15,15,20530.67971,20530.67971,20530.67971,839185.7849,839.1857849,36932.56639,,,118.5577,4963.3459,0.0032,0.1344
TO,T3,TO-T3,7,a,TO-T3-7a,8746.1948,2255.6795,2253.4484,7443.7415,25,1.03,2246.5602,8227.5077,1.0067,13.2742,24.1442,12.8875,23.4409,15,15,17222.0434,17222.0434,17222.0434,703946.2023,703.9462023,30980.67236,19089.8707,34340.7003,102.3729,4169.9922,0.0033,0.1346
TO,T3,TO-T3,7,b,TO-T3-7b,10664.8615,2950.2533,2948.0223,9362.4082,25,0.98,NA,NA,NA,17.4085,35.5648,17.7638,36.2906,15,15,21794.50112,21794.50112,21794.50112,890844.1312,890.8441312,39206.05022,,,129.5900,5282.4798,0.0033,0.1347
TO,T3,TO-T3,7,c,TO-T3-7c,9178.8269,1540.441,1538.21,7876.3736,25,1.01,NA,NA,NA,9.0168,26.7194,8.9275,26.4548,15,15,18253.0677,18253.0677,18253.0677,746089.0317,746.0890317,32835.37829,,,108.5100,4420.8423,0.0033,0.1346
