"site","treatment","sample_name","timepoint","rep","vial_name","CO2_ppm","CH4_ppm","CH4_ppm_corrected","CO2_ppm_corrected","Temp_C","AFDM_g","CH4_avg","CO2_avg","AFDM_avg","CH4_production","CO2_production","AFDM_corrected_CH4_production","AFDM_corrected_CO2 production","AirV_mL","WaterV_mL","wCO2_uatm_medhs","wCO2_uatm_minhs","wCO2_uatm_maxhs","wCO2_umolm3_med","wCO2_uM_med","wCO2_mgL_med"
"PA","T1","PA-T1",1,"b","PA-T1-1b",8571.4074,9.2259,7.7125,7596.467,25,1.72,NA,NA,NA,-7.4509,14.288,-4.3319,8.307,15,15,17586.0101575719,17586.0101575719,17586.0101575719,718823.241453671,718.823241453671,31635.4108563761
"PA","T1","PA-T1",1,"c","PA-T1-1c",7853.9927,65.758,64.2446,6879.0523,25,1.7,NA,NA,NA,-5.0954,-15.6043,-2.9973,-9.179,15,15,15876.308112481,15876.308112481,15876.308112481,648939.64904354,648.93964904354,28559.8339544062
"PA","T2","PA-T2",1,"a","PA-T2-1a",7328.3706,77.4029,75.8896,6353.4303,25,1.7,56.2848,6054.1061,1.7533,-4.9779,-86.3552,-2.9282,-50.7972,15,15,14623.6755579143,14623.6755579143,14623.6755579143,597738.644088111,597.738644088111,26306.4777263178
"PA","T2","PA-T2",1,"b","PA-T2-1b",7169.3793,33.7856,32.2722,6194.4389,25,1.78,NA,NA,NA,-6.7953,-92.9799,-3.8176,-52.2359,15,15,14244.7762661492,14244.7762661492,14244.7762661492,582251.241621565,582.251241621565,25624.8771437651
"PA","T2","PA-T2",1,"c","PA-T2-1c",6589.3896,62.2061,60.6927,5614.4493,25,1.78,NA,NA,NA,-5.6111,-117.1461,-3.1523,-65.8124,15,15,12862.5779291881,12862.5779291881,12862.5779291881,525754.27158664,525.75427158664,23138.445492528
"PA","T3","PA-T3",1,"a","PA-T3-1a",7375.933,10.7185,9.2052,6400.9926,25,1.78,35.0498,6207.7734,1.74,-5.3216,-14.6714,-2.9896,-8.2424,15,15,14737.0233351193,14737.0233351193,14737.0233351193,602371.702746218,602.371702746218,26510.3786378611
"PA","T3","PA-T3",1,"b","PA-T3-1b",8105.9834,45.5979,44.0846,7131.0431,25,1.71,NA,NA,NA,-3.8683,15.7473,-2.2621,9.209,15,15,16476.838302487,16476.838302487,16476.838302487,673486.152423388,673.486152423388,29640.1255681533
"PA","T3","PA-T3",1,"c","PA-T3-1c",6066.2249,53.3731,51.8597,5091.2846,25,1.73,NA,NA,NA,-3.5443,-69.2426,-2.0487,-40.0246,15,15,11615.8014726849,11615.8014726849,11615.8014726849,474792.632999964,474.792632999964,20895.6237783284
"PA","T1","PA-T1",3,"a","PA-T1-3a",2296.5292,18.4849,16.3219,1541.3735,25,1.72,68.391,5311.7271,1.74,-2.3641,-79.3359,-1.3745,-46.1255,15,15,3155.8545722928,3155.8545722928,3155.8545722928,128994.672065236,128.994672065236,5677.05551759105
"PA","T1","PA-T1",3,"b","PA-T1-3b",8325.5697,69.2744,67.1113,7570.414,25,1.75,NA,NA,NA,-1.6587,4.4008,-0.9478,2.5148,15,15,17523.9221248333,17523.9221248333,17523.9221248333,716285.410498909,716.285410498909,31523.720916057
"PA","T1","PA-T1",3,"c","PA-T1-3c",7578.5497,123.9029,121.7398,6823.394,25,1.75,NA,NA,NA,-0.8999,-5.9745,-0.5142,-3.414,15,15,15743.6664070124,15743.6664070124,15743.6664070124,643517.956469579,643.517956469579,28321.2252642262
"PA","T2","PA-T2",3,"a","PA-T2-3a",7886.654,120.4314,118.2684,7131.4983,25,1.81,80.9058,6777.5566,1.78,-1.0707,-17.9786,-0.5915,-9.9329,15,15,16477.9231093232,16477.9231093232,16477.9231093232,673530.493599092,673.530493599092,29642.077023296
"PA","T2","PA-T2",3,"b","PA-T2-3b",7481.67,70.878,68.7149,6726.5143,25,1.78,NA,NA,NA,-1.7589,-23.6034,-0.9882,-13.2603,15,15,15512.7881977733,15512.7881977733,15512.7881977733,634080.874308291,634.080874308291,27905.8992783079
"PA","T2","PA-T2",3,"c","PA-T2-3c",7229.8129,57.8971,55.734,6474.6571,25,1.75,NA,NA,NA,-1.9392,-27.1014,-1.1081,-15.4865,15,15,14912.576395714,14912.576395714,14912.576395714,609547.384946619,609.547384946619,26826.1804115007
"PA","T3","PA-T3",3,"a","PA-T3-3a",7659.3617,86.1895,84.0265,6904.206,25,1.76,56.6274,6731.3522,1.8433,-0.7347,2.0986,-0.4174,1.1924,15,15,15936.2529844381,15936.2529844381,15936.2529844381,651389.878901399,651.389878901399,28667.6685704506
"PA","T3","PA-T3",3,"b","PA-T3-3b",8450.0113,26.8359,24.6729,7694.8556,25,1.93,NA,NA,NA,-1.559,13.0798,-0.8078,6.7771,15,15,17820.4842917562,17820.4842917562,17820.4842917562,728407.306040309,728.407306040309,32057.205538834
"PA","T3","PA-T3",3,"c","PA-T3-3c",6350.1506,63.3459,61.1829,5594.9949,25,1.84,NA,NA,NA,-1.0519,-16.0849,-0.5717,-8.7418,15,15,12816.215305916,12816.215305916,12816.215305916,523859.212341013,523.859212341013,23055.043935128
"PA","T1","PA-T1",7,"a","PA-T1-7a",8380.9939,168.0208,165.7897,7078.5406,25,1.75,181.4321,6704.8058,1.72,-0.1235,-1.0418,-0.0706,-0.5953,15,15,16351.7173206861,16351.7173206861,16351.7173206861,668371.867323692,668.371867323692,29415.0458809157
"PA","T1","PA-T1",7,"b","PA-T1-7b",7279.5972,157.8712,155.6402,5977.1439,25,1.7,NA,NA,NA,-0.1839,-7.5977,-0.1082,-4.4692,15,15,13726.9311399091,13726.9311399091,13726.9311399091,561084.467072954,561.084467072954,24693.3273958807
"PA","T1","PA-T1",7,"c","PA-T1-7c",8361.1863,225.0974,222.8664,7058.733,25,1.71,NA,NA,NA,0.2163,-1.1597,0.1265,-0.6782,15,15,16304.5129711957,16304.5129711957,16304.5129711957,666442.402754563,666.442402754563,29330.1301452283
"PA","T2","PA-T2",7,"a","PA-T2-7a",931.8752,3.0632,0.8321,-370.5782,25,1.7,58.0206,5066.1111,1.7067,-1.1579,-52.3603,-0.6811,-30.8002,15,15,-1400.60033670883,-1400.60033670883,-1400.60033670883,-57249.1466224167,-57.2491466224167,-2519.53494285256
"PA","T2","PA-T2",7,"b","PA-T2-7b",9204.5331,58.8265,56.5955,7902.0798,25,1.73,NA,NA,NA,-0.826,-3.1183,-0.4774,-1.8025,15,15,18314.3292583179,18314.3292583179,18314.3292583179,748593.080781634,748.593080781634,32945.5814851997
"PA","T2","PA-T2",7,"c","PA-T2-7c",8969.2851,118.865,116.634,7666.8318,25,1.69,NA,NA,NA,-0.4686,-4.5186,-0.2773,-2.6737,15,15,17753.699560176,17753.699560176,17753.699560176,725677.498835378,725.677498835378,31937.066723745
"PA","T3","PA-T3",7,"a","PA-T3-7a",7874.8322,105.1852,102.9542,6572.3789,25,1.75,69.4056,6398.5182,1.7067,-0.2022,-1.0758,-0.1155,-0.6147,15,15,15145.4614499371,15145.4614499371,15145.4614499371,619066.496334752,619.066496334752,27245.1165036925
"PA","T3","PA-T3",7,"b","PA-T3-7b",7666.3792,39.8042,37.5732,6363.9259,25,1.73,NA,NA,NA,-0.5914,-2.3166,-0.3418,-1.3391,15,15,14648.6880768722,14648.6880768722,14648.6880768722,598761.023797503,598.761023797503,26351.4726573281
"PA","T3","PA-T3",7,"c","PA-T3-7c",7561.703,69.9204,67.6894,6259.2497,25,1.64,NA,NA,NA,-0.4121,-2.9396,-0.2513,-1.7925,15,15,14399.2296907918,14399.2296907918,14399.2296907918,588564.482109911,588.564482109911,25902.7228576572
"TO","T1","TO-T1",0,"a","TO-T1-0a",5184.9483,25.6768,24.3288,4578.617,25,1.03,21.288,4123.59,1.0167,NA,NA,NA,NA,15,15,10394.0411098545,10394.0411098545,10394.0411098545,424853.520238154,424.853520238154,18697.8034256812
"TO","T1","TO-T1",0,"b","TO-T1-0b",5521.8739,16.1794,14.8314,4915.5427,25,1.03,NA,NA,NA,NA,NA,NA,NA,15,15,11196.9833388522,11196.9833388522,11196.9833388522,457673.559040395,457.673559040395,20142.2133333678
"TO","T1","TO-T1",0,"c","TO-T1-0c",3482.9414,26.0519,24.7039,2876.6101,25,0.99,NA,NA,NA,NA,NA,NA,NA,15,15,6337.91474711241,6337.91474711241,6337.91474711241,259060.490796702,259.060490796702,11401.2521999629
"TO","T2","TO-T2",0,"a","TO-T2-0a",5514.4082,438.3974,437.0494,4908.077,25,1,612.984,5343.6673,0.9633,NA,NA,NA,NA,15,15,11179.1915058189,11179.1915058189,11179.1915058189,456946.322846522,456.946322846522,20110.2076684755
"TO","T2","TO-T2",0,"b","TO-T2-0b",5850.6049,648.5583,647.2103,5244.2737,25,0.94,NA,NA,NA,NA,NA,NA,NA,15,15,11980.3964233412,11980.3964233412,11980.3964233412,489695.349528623,489.695349528623,21551.4923327547
"TO","T2","TO-T2",0,"c","TO-T2-0c",6484.9823,756.0404,754.6924,5878.6511,25,0.95,NA,NA,NA,NA,NA,NA,NA,15,15,13492.2086821915,13492.2086821915,13492.2086821915,551490.252331421,551.490252331421,24271.0860051058
"TO","T3","TO-T3",0,"a","TO-T3-0a",3868.789,31.6747,30.3267,3262.4578,25,1.05,23.3888,3387.5207,1.0467,NA,NA,NA,NA,15,15,7257.44511327803,7257.44511327803,7257.44511327803,296646.037063299,296.646037063299,13055.3920911558
"TO","T3","TO-T3",0,"b","TO-T3-0b",4057.7005,16.9176,15.5696,3451.3693,25,1.03,NA,NA,NA,NA,NA,NA,NA,15,15,7707.64829128815,7707.64829128815,7707.64829128815,315047.965916424,315.047965916424,13865.2609799818
"TO","T3","TO-T3",0,"c","TO-T3-0c",4055.0662,25.618,24.27,3448.735,25,1.06,NA,NA,NA,NA,NA,NA,NA,15,15,7701.37037685821,7701.37037685821,7701.37037685821,314791.357921793,314.791357921793,13853.9676621381
"TO","T1","TO-T1",1,"a","TO-T1-1a",6656.9657,485.6708,484.1574,5682.0253,25,1.11,391.1308,5252.5913,1.0467,19.2862,64.9348,17.375,58.4998,15,15,13023.6212217204,13023.6212217204,13023.6212217204,532336.871079941,532.336871079941,23428.1456962282
"TO","T1","TO-T1",1,"b","TO-T1-1b",6664.8084,282.1,280.5866,5689.8681,25,1.02,NA,NA,NA,10.8041,65.2616,10.5923,63.9819,15,15,13042.3117380971,13042.3117380971,13042.3117380971,533100.840703862,533.100840703862,23461.767999377
"TO","T1","TO-T1",1,"c","TO-T1-1c",5360.821,410.1619,408.6485,4385.8806,25,1.01,NA,NA,NA,16.14,10.9288,15.9802,10.8206,15,15,9934.72264698579,9934.72264698579,9934.72264698579,406079.006668533,406.079006668533,17871.5370834821
"TO","T2","TO-T2",1,"a","TO-T2-1a",4345.1248,25.132,23.6186,3370.1844,25,1,37.8195,3066.9429,1,-24.5569,-82.2285,-24.5569,-82.2285,15,15,7514.17303972097,7514.17303972097,7514.17303972097,307139.719177882,307.139719177882,13517.2190410186
"TO","T2","TO-T2",1,"b","TO-T2-1b",4176.0213,74.3383,72.8249,3201.0809,25,0.98,NA,NA,NA,-22.5066,-89.2744,-22.9659,-91.0964,15,15,7111.17516445856,7111.17516445856,7111.17516445856,290667.293858013,290.667293858013,12792.2676026911
"TO","T2","TO-T2",1,"c","TO-T2-1c",3604.5037,18.5283,17.0149,2629.5633,25,1.02,NA,NA,NA,-24.832,-113.0877,-24.3451,-110.8703,15,15,5749.16681764685,5749.16681764685,5749.16681764685,234995.584017642,234.995584017642,10342.1556526164
"TO","T3","TO-T3",1,"a","TO-T3-1a",4681.4635,250.9838,249.4704,3706.5232,25,1.01,271.1081,5345.0497,1.0033,9.4201,13.2918,9.3268,13.1602,15,15,8315.71660190809,8315.71660190809,8315.71660190809,339902.587865843,339.902587865843,14959.1128919757
"TO","T3","TO-T3",1,"b","TO-T3-1b",7593.9917,263.0073,261.4939,6619.0513,25,1,NA,NA,NA,9.921,134.6471,9.921,134.6471,15,15,15256.6884679077,15256.6884679077,15256.6884679077,623612.869552924,623.612869552924,27445.2023890242
"TO","T3","TO-T3",1,"c","TO-T3-1c",6684.5151,303.8734,302.36,5709.5747,25,1,NA,NA,NA,11.6238,96.7523,11.6238,96.7523,15,15,13089.2753901129,13089.2753901129,13089.2753901129,535020.466831107,535.020466831107,23546.250745237
"TO","T1","TO-T1",3,"a","TO-T1-3a",9004.9837,2485.508,2483.345,8249.828,25,0.99,2244.6373,7372.7496,1.03,34.1952,57.3089,34.5406,57.8877,15,15,19143.0630558225,19143.0630558225,19143.0630558225,782467.342725468,782.467342725468,34436.3877533478
"TO","T1","TO-T1",3,"b","TO-T1-3b",6694.368,1880.5545,1878.3914,5939.2123,25,1.04,NA,NA,NA,25.7931,25.217,24.8011,24.2471,15,15,13636.5347010104,13636.5347010104,13636.5347010104,557389.537942196,557.389537942196,24530.713564836
"TO","T1","TO-T1",3,"c","TO-T1-3c",8684.3641,2374.3385,2372.1754,7929.2084,25,1.06,NA,NA,NA,32.6512,52.8558,30.803,49.864,15,15,18378.9806000041,18378.9806000041,18378.9806000041,751235.686271956,751.235686271956,33061.8825528288
"TO","T2","TO-T2",3,"a","TO-T2-3a",8822.2595,1997.0257,1994.8627,8067.1038,25,0.95,1896.509,7911.1466,0.9933,19.1928,37.8255,20.2029,39.8163,15,15,18707.6051004341,18707.6051004341,18707.6051004341,764668.120718632,764.668120718632,33653.043992827
"TO","T2","TO-T2",3,"b","TO-T2-3b",8428.2074,1925.1038,1922.9408,7673.0517,25,1.02,NA,NA,NA,18.1938,32.3526,17.8371,31.7182,15,15,17768.5224732697,17768.5224732697,17768.5224732697,726283.38125796,726.28338125796,31963.7316091628
"TO","T2","TO-T2",3,"c","TO-T2-3c",8748.4401,1773.8867,1771.7236,7993.2844,25,1.01,NA,NA,NA,16.0936,36.8002,15.9343,36.4359,15,15,18531.6828909402,18531.6828909402,18531.6828909402,757477.34966033,757.47734966033,33336.5781585511
"TO","T3","TO-T3",3,"a","TO-T3-3a",8577.0061,1450.5174,1448.3544,7821.8504,25,0.98,1246.3413,7419.9057,1.01,19.7912,61.5879,20.1951,62.8448,15,15,18123.1311001864,18123.1311001864,18123.1311001864,740777.909599737,740.777909599737,32601.6358014844
"TO","T3","TO-T3",3,"b","TO-T3-3b",8068.9378,1167.2494,1165.0863,7313.7821,25,1.02,NA,NA,NA,15.8569,54.5314,15.546,53.4622,15,15,16912.3315283965,16912.3315283965,16912.3315283965,691286.816102896,691.286816102896,30423.5327766885
"TO","T3","TO-T3",3,"c","TO-T3-3c",7879.2404,1127.7464,1125.5833,7124.0847,25,1.03,NA,NA,NA,15.3083,51.8967,14.8624,50.3852,15,15,16460.2554380565,16460.2554380565,16460.2554380565,672808.332482667,672.808332482667,29610.2947125622
"TO","T1","TO-T1",7,"a","TO-T1-7a",10025.7108,7514.7723,7512.5412,8723.2575,25,1.02,6910.1262,8040.3573,1.0267,44.5908,27.379,43.7165,26.8421,15,15,20271.3134030155,20271.3134030155,20271.3134030155,828584.259779066,828.584259779066,36465.9932728767
"TO","T1","TO-T1",7,"b","TO-T1-7b",8701.0825,6116.0444,6113.8134,7398.6292,25,1.07,NA,NA,NA,36.265,19.4943,33.8926,18.219,15,15,17114.5343274052,17114.5343274052,17114.5343274052,699551.798899571,699.551798899571,30787.2746695701
"TO","T1","TO-T1",7,"c","TO-T1-7c",9301.6387,7106.2549,7104.0239,7999.1854,25,0.99,NA,NA,NA,42.1591,23.069,42.585,23.302,15,15,18545.7458196314,18545.7458196314,18545.7458196314,758052.167933237,758.052167933237,33361.8759107418
"TO","T2","TO-T2",7,"a","TO-T2-7a",9050.4883,4038.2053,4035.9743,7748.035,25,1.02,4005.6674,7928.4959,1,20.3749,14.3117,19.9754,14.0311,15,15,17947.2184232658,17947.2184232658,17947.2184232658,733587.528182698,733.587528182698,32285.1871153205
"TO","T2","TO-T2",7,"b","TO-T2-7b",8507.815,3595.7957,3593.5646,7205.3616,25,0.99,NA,NA,NA,17.7416,11.0815,17.9208,11.1934,15,15,16653.9499388085,16653.9499388085,16653.9499388085,680725.540970253,680.725540970253,29958.7310581008
"TO","T2","TO-T2",7,"c","TO-T2-7c",10134.5445,4389.6943,4387.4632,8832.0912,25,0.99,NA,NA,NA,22.4671,20.7644,22.6941,20.9742,15,15,20530.6797074205,20530.6797074205,20530.6797074205,839185.784854153,839.185784854153,36932.5663914313
"TO","T3","TO-T3",7,"a","TO-T3-7a",8746.1948,2255.6795,2253.4484,7443.7415,25,1.03,2246.5602,8227.5077,1.0067,13.2742,24.1442,12.8875,23.4409,15,15,17222.0434034929,17222.0434034929,17222.0434034929,703946.202284229,703.946202284229,30980.6723625289
"TO","T3","TO-T3",7,"b","TO-T3-7b",10664.8615,2950.2533,2948.0223,9362.4082,25,0.98,NA,NA,NA,17.4085,35.5648,17.7638,36.2906,15,15,21794.5011198427,21794.5011198427,21794.5011198427,890844.131241764,890.844131241764,39206.05021595
"TO","T3","TO-T3",7,"c","TO-T3-7c",9178.8269,1540.441,1538.21,7876.3736,25,1.01,NA,NA,NA,9.0168,26.7194,8.9275,26.4548,15,15,18253.0676996803,18253.0676996803,18253.0676996803,746089.031724355,746.089031724355,32835.3782861889
