"site","treatment","sample_name","timepoint","rep","vial_name","CO2_ppm","CH4_ppm","CH4_ppm_corrected","CO2_ppm_corrected","Temp_C","AFDM_g","CH4_avg","CO2_avg","AFDM_avg","CH4_production","CO2_production","AFDM_corrected_CH4_production","AFDM_corrected_CO2.production","period","spc_us_cm","cond","temp_C"
"TO","T1","TO-T1","0","c","TO-T1-0c",3482.9414,26.0519,24.7039,2876.6101,25,0.99,NA,NA,NA,NA,NA,NA,NA,"summer",978,NA,NA
"TO","T2","TO-T2","0","a","TO-T2-0a",5514.4082,438.3974,437.0494,4908.077,25,1,"612.984","5343.6673","0.9633",NA,NA,NA,NA,"summer",2124,NA,NA
"TO","T2","TO-T2","0","b","TO-T2-0b",5850.6049,648.5583,647.2103,5244.2737,25,0.94,NA,NA,NA,NA,NA,NA,NA,"summer",2124,NA,NA
"TO","T2","TO-T2","0","c","TO-T2-0c",6484.9823,756.0404,754.6924,5878.6511,25,0.95,NA,NA,NA,NA,NA,NA,NA,"summer",2124,NA,NA
"TO","T3","TO-T3","0","a","TO-T3-0a",3868.789,31.6747,30.3267,3262.4578,25,1.05,"23.3888","3387.5207","1.0467",NA,NA,NA,NA,"summer",3217,NA,NA
"TO","T3","TO-T3","0","b","TO-T3-0b",4057.7005,16.9176,15.5696,3451.3693,25,1.03,NA,NA,NA,NA,NA,NA,NA,"summer",3217,NA,NA
"TO","T3","TO-T3","0","c","TO-T3-0c",4055.0662,25.618,24.27,3448.735,25,1.06,NA,NA,NA,NA,NA,NA,NA,"summer",3217,NA,NA
"TO","T1","TO-T1","1","a","TO-T1-1a",6656.9657,485.6708,484.1574,5682.0253,25,1.11,"391.1308","5252.5913","1.0467",19.2862,64.9348,"17.375","58.4998","summer",978,NA,NA
"TO","T1","TO-T1","1","b","TO-T1-1b",6664.8084,282.1,280.5866,5689.8681,25,1.02,NA,NA,NA,10.8041,65.2616,"10.5923","63.9819","summer",978,NA,NA
"TO","T1","TO-T1","1","c","TO-T1-1c",5360.821,410.1619,408.6485,4385.8806,25,1.01,NA,NA,NA,16.14,10.9288,"15.9802","10.8206","summer",978,NA,NA
"TO","T2","TO-T2","1","a","TO-T2-1a",4345.1248,25.132,23.6186,3370.1844,25,1,"37.8195","3066.9429","1",-24.5569,-82.2285,"-24.5569","-82.2285","summer",2124,NA,NA
"TO","T2","TO-T2","1","b","TO-T2-1b",4176.0213,74.3383,72.8249,3201.0809,25,0.98,NA,NA,NA,-22.5066,-89.2744,"-22.9659","-91.0964","summer",2124,NA,NA
"TO","T2","TO-T2","1","c","TO-T2-1c",3604.5037,18.5283,17.0149,2629.5633,25,1.02,NA,NA,NA,-24.832,-113.0877,"-24.3451","-110.8703","summer",2124,NA,NA
"TO","T3","TO-T3","1","a","TO-T3-1a",4681.4635,250.9838,249.4704,3706.5232,25,1.01,"271.1081","5345.0497","1.0033",9.4201,13.2918,"9.3268","13.1602","summer",3217,NA,NA
"TO","T3","TO-T3","1","b","TO-T3-1b",7593.9917,263.0073,261.4939,6619.0513,25,1,NA,NA,NA,9.921,134.6471,"9.921","134.6471","summer",3217,NA,NA
"TO","T3","TO-T3","1","c","TO-T3-1c",6684.5151,303.8734,302.36,5709.5747,25,1,NA,NA,NA,11.6238,96.7523,"11.6238","96.7523","summer",3217,NA,NA
"TO","T1","TO-T1","3","a","TO-T1-3a",9004.9837,2485.508,2483.345,8249.828,25,0.99,"2244.6373","7372.7496","1.03",34.1952,57.3089,"34.5406","57.8877","summer",978,NA,NA
"TO","T1","TO-T1","3","b","TO-T1-3b",6694.368,1880.5545,1878.3914,5939.2123,25,1.04,NA,NA,NA,25.7931,25.217,"24.8011","24.2471","summer",978,NA,NA
"TO","T1","TO-T1","3","c","TO-T1-3c",8684.3641,2374.3385,2372.1754,7929.2084,25,1.06,NA,NA,NA,32.6512,52.8558,"30.803","49.864","summer",978,NA,NA
"TO","T2","TO-T2","3","a","TO-T2-3a",8822.2595,1997.0257,1994.8627,8067.1038,25,0.95,"1896.509","7911.1466","0.9933",19.1928,37.8255,"20.2029","39.8163","summer",2124,NA,NA
"TO","T2","TO-T2","3","b","TO-T2-3b",8428.2074,1925.1038,1922.9408,7673.0517,25,1.02,NA,NA,NA,18.1938,32.3526,"17.8371","31.7182","summer",2124,NA,NA
"TO","T2","TO-T2","3","c","TO-T2-3c",8748.4401,1773.8867,1771.7236,7993.2844,25,1.01,NA,NA,NA,16.0936,36.8002,"15.9343","36.4359","summer",2124,NA,NA
"TO","T3","TO-T3","3","a","TO-T3-3a",8577.0061,1450.5174,1448.3544,7821.8504,25,0.98,"1246.3413","7419.9057","1.01",19.7912,61.5879,"20.1951","62.8448","summer",3217,NA,NA
"TO","T3","TO-T3","3","b","TO-T3-3b",8068.9378,1167.2494,1165.0863,7313.7821,25,1.02,NA,NA,NA,15.8569,54.5314,"15.546","53.4622","summer",3217,NA,NA
"TO","T3","TO-T3","3","c","TO-T3-3c",7879.2404,1127.7464,1125.5833,7124.0847,25,1.03,NA,NA,NA,15.3083,51.8967,"14.8624","50.3852","summer",3217,NA,NA
"TO","T1","TO-T1","7","a","TO-T1-7a",10025.7108,7514.7723,7512.5412,8723.2575,25,1.02,"6910.1262","8040.3573","1.0267",44.5908,27.379,"43.7165","26.8421","summer",978,NA,NA
"TO","T1","TO-T1","7","b","TO-T1-7b",8701.0825,6116.0444,6113.8134,7398.6292,25,1.07,NA,NA,NA,36.265,19.4943,"33.8926","18.219","summer",978,NA,NA
"TO","T1","TO-T1","7","c","TO-T1-7c",9301.6387,7106.2549,7104.0239,7999.1854,25,0.99,NA,NA,NA,42.1591,23.069,"42.585","23.302","summer",978,NA,NA
"TO","T2","TO-T2","7","a","TO-T2-7a",9050.4883,4038.2053,4035.9743,7748.035,25,1.02,"4005.6674","7928.4959","1",20.3749,14.3117,"19.9754","14.0311","summer",2124,NA,NA
"TO","T2","TO-T2","7","b","TO-T2-7b",8507.815,3595.7957,3593.5646,7205.3616,25,0.99,NA,NA,NA,17.7416,11.0815,"17.9208","11.1934","summer",2124,NA,NA
"TO","T2","TO-T2","7","c","TO-T2-7c",10134.5445,4389.6943,4387.4632,8832.0912,25,0.99,NA,NA,NA,22.4671,20.7644,"22.6941","20.9742","summer",2124,NA,NA
"TO","T3","TO-T3","7","a","TO-T3-7a",8746.1948,2255.6795,2253.4484,7443.7415,25,1.03,"2246.5602","8227.5077","1.0067",13.2742,24.1442,"12.8875","23.4409","summer",3217,NA,NA
"TO","T3","TO-T3","7","b","TO-T3-7b",10664.8615,2950.2533,2948.0223,9362.4082,25,0.98,NA,NA,NA,17.4085,35.5648,"17.7638","36.2906","summer",3217,NA,NA
"TO","T3","TO-T3","7","c","TO-T3-7c",9178.8269,1540.441,1538.21,7876.3736,25,1.01,NA,NA,NA,9.0168,26.7194,"8.9275","26.4548","summer",3217,NA,NA
"PA","T1","PA-T1","0","a","PA-T1-0a",3727.8486,194.5609,191.2006,3074.5811,NA,NA,"290.8462","3936.8","#DIV/0!",NA,NA,"","","winter",377,NA,NA
"PA","T1","PA-T1","0","b","PA-T1-0b",3092.1905,182.1384,178.7781,2438.923,NA,NA,"","","",NA,NA,"","","winter",377,NA,NA
"PA","T1","PA-T1","0","c","PA-T1-0c",6184.0527,255.5365,252.1762,5530.7852,NA,NA,"","","",NA,NA,"","","winter",377,NA,NA
"PA","T1","PA-T1","0","d","PA-T1-0d",5356.178,544.5902,541.2298,4702.9105,NA,NA,"","","",NA,NA,"","","winter",377,NA,NA
"PA","T2","PA-T2","0","a","PA-T2-0a",4786.8302,247.6801,244.3198,4133.5627,NA,NA,"329.0551","4684.1156","#DIV/0!",NA,NA,"","","winter",1327,NA,NA
"PA","T2","PA-T2","0","b","PA-T2-0b",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",1327,NA,NA
"PA","T2","PA-T2","0","c","PA-T2-0c",5604.7925,220.7317,217.3714,4951.525,NA,NA,"","","",NA,NA,"","","winter",1327,NA,NA
"PA","T2","PA-T2","0","d","PA-T2-0d",5620.5266,528.8344,525.4741,4967.2591,NA,NA,"","","",NA,NA,"","","winter",1327,NA,NA
"PA","T3","PA-T3","0","a","PA-T3-0a",5080.7145,452.7207,449.3604,4427.447,NA,NA,"580.0602","5016.9713","#DIV/0!",NA,NA,"","","winter",2233,NA,NA
"PA","T3","PA-T3","0","b","PA-T3-0b",6259.7632,714.1204,710.76,5606.4957,NA,NA,"","","",NA,NA,"","","winter",2233,NA,NA
"PA","T3","PA-T3","0","c","PA-T3-0c",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",2233,NA,NA
"PA","T3","PA-T3","0","d","PA-T3-0d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",2233,NA,NA
"PA","T1","PA-T1","1","a","PA-T1-1a",NA,NA,NA,NA,NA,NA,"240.9586","4325.661","#DIV/0!",-1.4502,-164.0333,"#DIV/0!","#DIV/0!","winter",377,NA,NA
"PA","T1","PA-T1","1","b","PA-T1-1b",4524.8704,259.4019,256.0416,3871.6029,NA,NA,"","","",-1.4502,-2.7165,"#DIV/0!","#DIV/0!","winter",377,NA,NA
"PA","T1","PA-T1","1","c","PA-T1-1c",4337.4309,248.6058,245.2455,3684.1634,NA,NA,"","","",-1.9,-10.5265,"#DIV/0!","#DIV/0!","winter",377,NA,NA
"PA","T1","PA-T1","1","d","PA-T1-1d",6074.4843,224.949,221.5887,5421.2168,NA,NA,"","","",NA,NA,"","","winter",377,NA,NA
"PA","T2","PA-T2","1","a","PA-T2-1a",5947.1471,398.6259,395.2656,5293.8796,NA,NA,"296.3794","5198.3724","#DIV/0!",2.7588,25.4068,"#DIV/0!","#DIV/0!","winter",1327,NA,NA
"PA","T2","PA-T2","1","b","PA-T2-1b",6821.0226,346.2493,342.8889,6167.7551,NA,NA,"","","",0.5764,61.8183,"#DIV/0!","#DIV/0!","winter",1327,NA,NA
"PA","T2","PA-T2","1","c","PA-T2-1c",4396.1433,148.4545,145.0942,3742.8758,NA,NA,"","","",-7.665,-39.2183,"#DIV/0!","#DIV/0!","winter",1327,NA,NA
"PA","T2","PA-T2","1","d","PA-T2-1d",6242.2466,305.6294,302.269,5588.9791,NA,NA,"","","",NA,NA,"","","winter",1327,NA,NA
"PA","T3","PA-T3","1","a","PA-T3-1a",NA,NA,NA,NA,NA,NA,"294.2242","5127.1743","#DIV/0!",-24.1692,-209.0405,"#DIV/0!","#DIV/0!","winter",2233,NA,NA
"PA","T3","PA-T3","1","b","PA-T3-1b",5848.186,335.6335,332.2731,5194.9185,NA,NA,"","","",-10.3245,7.4145,"#DIV/0!","#DIV/0!","winter",2233,NA,NA
"PA","T3","PA-T3","1","c","PA-T3-1c",5712.6976,259.5356,256.1753,5059.4301,NA,NA,"","","",-13.4952,1.7691,"#DIV/0!","#DIV/0!","winter",2233,NA,NA
"PA","T3","PA-T3","1","d","PA-T3-1d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",2233,NA,NA
"PA","T1","PA-T1","3","a","PA-T1-3a",4261.4948,262.2532,258.8929,3608.2273,NA,NA,"271.0562","4431.1396","#DIV/0!",-0.4438,-4.5635,"#DIV/0!","#DIV/0!","winter",377,NA,NA
"PA","T1","PA-T1","3","b","PA-T1-3b",6495.847,345.4517,342.0913,5842.5795,NA,NA,"","","",0.7117,26.4692,"#DIV/0!","#DIV/0!","winter",377,NA,NA
"PA","T1","PA-T1","3","c","PA-T1-3c",5262.6988,248.4207,245.0603,4609.4313,NA,NA,"","","",-0.6359,9.3421,"#DIV/0!","#DIV/0!","winter",377,NA,NA
"PA","T1","PA-T1","3","d","PA-T1-3d",4317.5879,241.5406,238.1803,3664.3204,NA,NA,"","","",NA,NA,"","","winter",377,NA,NA
"PA","T2","PA-T2","3","a","PA-T2-3a",5650.1773,157.639,154.2787,4996.9098,NA,NA,"236.0743","4686.1318","#DIV/0!",-2.4274,4.3444,"#DIV/0!","#DIV/0!","winter",1327,NA,NA
"PA","T2","PA-T2","3","b","PA-T2-3b",4736.8812,306.2931,302.9328,4083.6137,NA,NA,"","","",-0.3628,-8.3403,"#DIV/0!","#DIV/0!","winter",1327,NA,NA
"PA","T2","PA-T2","3","c","PA-T2-3c",4973.6195,193.0369,189.6766,4320.352,NA,NA,"","","",-1.9358,-5.0523,"#DIV/0!","#DIV/0!","winter",1327,NA,NA
"PA","T2","PA-T2","3","d","PA-T2-3d",5996.919,300.7695,297.4091,5343.6515,NA,NA,"","","",NA,NA,"","","winter",1327,NA,NA
"PA","T3","PA-T3","3","a","PA-T3-3a",NA,NA,NA,NA,NA,NA,"259.2718","5505.1534","#DIV/0!",-8.0564,-69.6802,"#DIV/0!","#DIV/0!","winter",2233,NA,NA
"PA","T3","PA-T3","3","b","PA-T3-3b",6263.5885,281.58,278.2197,5610.321,NA,NA,"","","",-4.1922,8.241,"#DIV/0!","#DIV/0!","winter",2233,NA,NA
"PA","T3","PA-T3","3","c","PA-T3-3c",5886.0808,146.6703,143.3099,5232.8133,NA,NA,"","","",-6.066,2.9978,"#DIV/0!","#DIV/0!","winter",2233,NA,NA
"PA","T3","PA-T3","3","d","PA-T3-3d",6325.5934,359.646,356.2857,5672.3259,NA,NA,"","","",NA,NA,"","","winter",2233,NA,NA
"PA","T1","PA-T1","7","a","PA-T1-7a",NA,NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!",NA,NA,"#DIV/0!","#DIV/0!","winter",377,NA,NA
"PA","T1","PA-T1","7","b","PA-T1-7b",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",377,NA,NA
"PA","T1","PA-T1","7","c","PA-T1-7c",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",377,NA,NA
"PA","T1","PA-T1","7","d","PA-T1-7d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",377,NA,NA
"PA","T2","PA-T2","7","a","PA-T2-7a",NA,NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!",NA,NA,"#DIV/0!","#DIV/0!","winter",1327,NA,NA
"PA","T2","PA-T2","7","b","PA-T2-7b",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",1327,NA,NA
"PA","T2","PA-T2","7","c","PA-T2-7c",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",1327,NA,NA
"PA","T2","PA-T2","7","d","PA-T2-7d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",1327,NA,NA
"PA","T3","PA-T3","7","a","PA-T3-7a",NA,NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","#DIV/0!",NA,NA,"#DIV/0!","#DIV/0!","winter",2233,NA,NA
"PA","T3","PA-T3","7","b","PA-T3-7b",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",2233,NA,NA
"PA","T3","PA-T3","7","c","PA-T3-7c",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"#DIV/0!","#DIV/0!","winter",2233,NA,NA
"PA","T3","PA-T3","7","d","PA-T3-7d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",2233,NA,NA
"TO","T1","TO-T1","0","a","TO-T1-0a",3847.9051,34.7715,31.4112,3194.6376,NA,NA,"30.4924","3071.3468","#DIV/0!",NA,NA,"","","winter",443.6,NA,NA
"TO","T1","TO-T1","0","b","TO-T1-0b",3432.1932,35.7574,32.3971,2778.9256,NA,NA,"","","",NA,NA,"","","winter",443.6,NA,NA
"TO","T1","TO-T1","0","c","TO-T1-0c",4178.6547,32.1721,28.8118,3525.3872,NA,NA,"","","",NA,NA,"","","winter",443.6,NA,NA
"TO","T1","TO-T1","0","d","TO-T1-0d",3439.7044,32.71,29.3496,2786.4369,NA,NA,"","","",NA,NA,"","","winter",443.6,NA,NA
"TO","T2","TO-T2","0","a","TO-T2-0a",2695.3005,107.5787,104.2184,2042.033,NA,NA,"140.0276","2930.4795","#DIV/0!",NA,NA,"","","winter",1260,NA,NA
"TO","T2","TO-T2","0","b","TO-T2-0b",3951.704,149.3839,146.0235,3298.4365,NA,NA,"","","",NA,NA,"","","winter",1260,NA,NA
"TO","T2","TO-T2","0","c","TO-T2-0c",3639.6047,170.4954,167.1351,2986.3372,NA,NA,"","","",NA,NA,"","","winter",1260,NA,NA
"TO","T2","TO-T2","0","d","TO-T2-0d",4048.379,146.0936,142.7333,3395.1115,NA,NA,"","","",NA,NA,"","","winter",1260,NA,NA
"TO","T3","TO-T3","0","a","TO-T3-0a",5018.4823,416.5453,413.1849,4365.2148,NA,NA,"1771.8084","5457.2796","#DIV/0!",NA,NA,"","","winter",2318,NA,NA
"TO","T3","TO-T3","0","b","TO-T3-0b",7509.5533,2628.4728,2625.1125,6856.2858,NA,NA,"","","",NA,NA,"","","winter",2318,NA,NA
"TO","T3","TO-T3","0","c","TO-T3-0c",5242.9095,1359.412,1356.0517,4589.642,NA,NA,"","","",NA,NA,"","","winter",2318,NA,NA
"TO","T3","TO-T3","0","d","TO-T3-0d",6671.2434,2696.2449,2692.8846,6017.9759,NA,NA,"","","",NA,NA,"","","winter",2318,NA,NA
"TO","T1","TO-T1","1","a","TO-T1-1a",3662.53,17.4438,14.0835,3009.2625,NA,NA,"10.2437","2789.0611","#DIV/0!",-0.6837,-2.5868,"#DIV/0!","#DIV/0!","winter",443.6,NA,NA
"TO","T1","TO-T1","1","b","TO-T1-1b",4141.7854,15.3566,11.9963,3488.5179,NA,NA,"","","",-0.7707,17.3821,"#DIV/0!","#DIV/0!","winter",443.6,NA,NA
"TO","T1","TO-T1","1","c","TO-T1-1c",3154.5697,10.5019,7.1415,2501.3022,NA,NA,"","","",-0.973,-23.7519,"#DIV/0!","#DIV/0!","winter",443.6,NA,NA
"TO","T1","TO-T1","1","d","TO-T1-1d",2810.4293,11.1137,7.7534,2157.1618,NA,NA,"","","",NA,NA,"","","winter",443.6,NA,NA
"TO","T2","TO-T2","1","a","TO-T2-1a",4379.9478,121.4632,118.1029,3726.6803,NA,NA,"97.2785","3366.4829","#DIV/0!",-0.9135,33.175,"#DIV/0!","#DIV/0!","winter",1260,NA,NA
"TO","T2","TO-T2","1","b","TO-T2-1b",3670.8476,99.0931,95.7327,3017.5801,NA,NA,"","","",-1.8456,3.6292,"#DIV/0!","#DIV/0!","winter",1260,NA,NA
"TO","T2","TO-T2","1","c","TO-T2-1c",4008.4557,81.3603,78,3355.1882,NA,NA,"","","",-2.5845,17.6962,"#DIV/0!","#DIV/0!","winter",1260,NA,NA
"TO","T2","TO-T2","1","d","TO-T2-1d",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"","","winter",1260,NA,NA
"TO","T3","TO-T3","1","a","TO-T3-1a",5595.1096,1006.1674,1002.807,4941.8421,NA,NA,"947.2102","5700.4369","#DIV/0!",-32.0417,-21.4766,"#DIV/0!","#DIV/0!","winter",2318,NA,NA
"TO","T3","TO-T3","1","b","TO-T3-1b",6029.3576,1063.1535,1059.7932,5376.0901,NA,NA,"","","",-29.6673,-3.3829,"#DIV/0!","#DIV/0!","winter",2318,NA,NA
"TO","T3","TO-T3","1","c","TO-T3-1c",6818.0076,974.6913,971.331,6164.7401,NA,NA,"","","",-33.3532,29.4775,"#DIV/0!","#DIV/0!","winter",2318,NA,NA
"TO","T3","TO-T3","1","d","TO-T3-1d",6972.3428,758.2698,754.9095,6319.0753,NA,NA,"","","",NA,NA,"","","winter",2318,NA,NA
"TO","T1","TO-T1","3","a","TO-T1-3a",3930.8251,20.7851,17.4247,3277.5576,NA,NA,"11.3627","2780.5974","#DIV/0!",-0.1815,2.864,"#DIV/0!","#DIV/0!","winter",443.6,NA,NA
"TO","T1","TO-T1","3","b","TO-T1-3b",NA,NA,NA,NA,NA,NA,"","","",-0.4235,-42.6576,"#DIV/0!","#DIV/0!","winter",443.6,NA,NA
