Site,Date,Sample Name,CH4,CO2,AirV_mL,WaterV_mL,WaterT_C,wCO2_uatm_medhs,wCH4_uatm_medhs,wCO2_umolm3_med,wCH4_umolm3_med,wCO2_uM_med,wCH4_uM_med,wCO2_mgL_med,wCH4_mgL_med
TO,7/24/2024,TO-sw-240724,41.88706143,5629.81912,20,20,20,11655.54574,1167.292509,484542.9945,48526.5487,484.5429945,48.5265487,21324.73719,795.8353986
TO,7/24/2024,TO-sw-240724,38.06940026,4216.878873,20,20,20,8730.302614,1060.903397,362935.1269,44103.75286,362.9351269,44.10375286,15972.77494,723.301547
TO,7/24/2024,TO-sw-240724,39.30064107,4501.955211,20,20,20,9320.502799,1095.215142,387470.8605,45530.15675,387.4708605,45.53015675,17052.59257,746.6945707
PA,8/17/2024,PA-SW-240817,3451.430012,8293.462338,20,20,20,17170.14837,96183.1234,713795.4152,3998513.642,713.7954152,3998.513642,31414.13622,65575.62373
PA,8/17/2024,PA-SW-240817,3569.596507,8594.112351,20,20,20,17792.5911,99476.14181,739671.5321,4135410.621,739.6715321,4135.410621,32552.94413,67820.73418
PA,8/17/2024,PA-SW-240817,3212.14039,7796.171115,20,20,20,16140.59476,89514.69229,670994.932,3721294.398,670.994932,3721.294398,29530.48696,61029.22812
PA,8/17/2024,PA-SW-240817,3451.430012,8594.112351,20,20,20,17792.5911,96183.1234,739671.5321,3998513.642,739.6715321,3998.513642,32552.94413,65575.62373
PA,8/17/2024,PA-SW-240817,3569.596507,7796.171115,20,20,20,16140.59476,99476.14181,670994.932,4135410.621,670.994932,4135.410621,29530.48696,67820.73418
PA,8/17/2024,PA-SW-240817,3212.14039,1340.780318,20,20,20,2775.848741,89514.69229,115397.2617,3721294.398,115.3972617,3721.294398,5078.633486,61029.22812
TO,8/17/2024,TO-240816,35.23619877,11.45748941,20,20,20,23.72070736,981.9488278,986.1144929,40821.46269,0.986114493,40.82146269,43.39889883,669.4719882
TO,8/17/2024,TO-SW-240816,34.12312643,5143.744295,20,20,20,10649.2137,950.9301561,442707.8758,39531.95808,442.7078758,39.53195808,19483.57361,648.3241124
TO,8/17/2024,TO-SW-240816,34.12312643,5108.271702,20,20,20,10575.77396,950.9301561,439654.8476,39531.95808,439.6548476,39.53195808,19349.20984,648.3241124
CEN,10/14/2024,CEN-SW-241014,24.86615877,6970.706523,20,20,20,14431.61618,692.9605437,599949.4727,28807.67529,599.9494727,28.80767529,26403.77629,472.4458748
CEN,10/14/2024,CEN-SW-241014,34.7824794,8109.127874,20,20,20,16788.51644,969.3047511,697930.2567,40295.8246,697.9302567,40.2958246,30715.9106,660.8515235
CEN,10/14/2024,CEN-SW-241014,29.39571469,6896.065691,20,20,20,14277.08553,819.1884651,593525.3423,34055.20779,593.5253423,34.05520779,26121.05031,558.5054077
PA,10/14/2024,PA-SW-241014,1257.786854,7869.645233,20,20,20,16292.70994,35051.52002,677318.6466,1457157.722,677.3186466,1457.157722,29808.79364,23897.38664
PA,10/14/2024,PA-SW-241014,1186.752539,7492.055164,20,20,20,15510.97642,33071.96307,644820.5114,1374863.81,644.8205114,1374.86381,28378.55071,22547.76649
PA,10/14/2024,PA-SW-241014,1181.119294,7689.503152,20,20,20,15919.75759,32914.97798,661814.3148,1368337.644,661.8143148,1368.337644,29126.448,22440.73736
TO,10/14/2024,TO-SW-241015,20.72876821,6803.128676,20,20,20,14084.67586,577.6613356,585526.5099,24014.46999,585.5265099,24.01446999,25769.0217,393.8373079
TO,10/14/2024,TO-SW-241015,22.27767721,7029.283296,20,20,20,14552.88904,620.8257357,604991.0139,25808.89543,604.9910139,25.80889543,26625.65452,423.265885
TO,10/14/2024,TO-SW-241015,19.14849206,6303.726974,20,20,20,13050.75287,533.6228081,542544.3836,22183.70544,542.5443836,22.18370544,23877.37832,363.8127693
VB,10/14/2024,VB-SW-241015,1.961394611,7365.282234,20,20,20,15248.51547,54.65939023,633909.5153,2272.293826,633.9095153,2.272293826,27898.35777,37.26561875
VB,10/14/2024,VB-SW-241015,1.6441959,8246.077104,20,20,20,17072.04562,45.81981864,709717.0989,1904.816182,709.7170989,1.904816182,31234.64952,31.23898539
VB,10/14/2024,VB-SW-241015,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA
PA,1/15/2025,PA-SW,626.8091607,7828.715385,20,20,20,16207.97192,17467.67648,673795.9276,726164.2193,673.7959276,726.1642193,29653.75877,11909.0932
PA,1/15/2025,PA-SW,1138.61424,7976.97488,20,20,20,16514.91701,31730.46349,686556.2131,1319095.145,686.5562131,1319.095145,30215.33894,21633.16038
PA,1/15/2025,PA-SW,1092.267398,6897.640974,20,20,20,14280.34687,30438.88752,593660.9226,1265401.899,593.6609226,1265.401899,26127.0172,20752.59114
TO,1/15/2025,TO-SW,40.64347849,5241.509113,20,20,20,10851.61848,1132.636818,451122.2239,47085.84634,451.1222239,47.08584634,19853.88907,772.20788
TO,1/15/2025,TO-SW,39.88957675,5776.157283,20,20,20,11958.51305,1111.627375,497137.9163,46212.44419,497.1379163,46.21244419,21879.0397,757.8840848
