Site,Date,Sample_ID,Rep,Air_Location,Sample_time,CH4.GC,CO2.GC,waterVolume,gasVolume,waterTemp.C,Atm_pressure_inHg,AirT_C,Humidity_perc,Note,AirCO2_min_ppm,CO2air.GC,AirCO2_max_ppm,AirCH4_min_ppm,CH4air.GC,AirCH4_max_ppm,wCO2_uatm_medhs,wCO2_uatm_minhs,wCO2_uatm_maxhs,wCH4_uatm_medhs,wCH4_uatm_minhs,wCH4_uatm_maxhs,wCO2_umolm3_med,wCH4_umolm3_med,wCO2_uM_med,wCH4_uM_med,wCO2_mgL_med,wCH4_mgL_med,baro,headspaceTemp.C,dissolvedCO2,dissolvedCH4,dissolvedCO2.molL,dissolvedCH4.molL,dCO2.umol,dCH4.umol
Esperanza,10/20/2020,ES-6,2,ES Air 1220,,11.71,2574,20,20,20,NA,NA,NA,,788,840,917,4.64,6.82,18.23,4429.940614,4485.597426,4347.525719,143.0926382,201.6640393,-163.466851,184160.977,5948.630548,184.160977,5.948630548,8104.924599,97.55754099,102,20,0.000171956,2.23E-07,0.000172,2.23E-07,171.9562146,0.223279315
Esperanza,6/14/2021,ES-4,1,ES Air 061421,9:00,107.48,4782,20,20,20,30.11,29.7,81.5,Sampled in quadrant C,574,587,592,-1.81,-0.89,-0.53,9272.006272,9285.920475,9266.654656,3019.123457,3043.841663,3009.451116,385454.7685,125510.6499,385.4547685,125.5106499,16963.86436,2058.374659,102,20,0.000360203,4.71E-06,0.00036,4.71E-06,360.2034375,4.706187791
Esperanza,6/14/2021,ES-5,2,ES Air 061421,9:00,61.36,4578,20,20,20,30.11,29.7,81.5,Sampled in quadrant C,574,587,592,-1.81,-0.89,-0.53,8849.660318,8863.574521,8844.308701,1733.869045,1758.587251,1724.196704,367897.0515,72080.20269,367.8970515,72.08020269,16191.14924,1182.115324,102,20,0.000343789,2.70E-06,0.000344,2.70E-06,343.7892315,2.702729953
Esperanza,6/14/2021,ES-6,3,ES Air 061421,9:00,106.85,5382,20,20,20,30.11,29.7,81.5,Sampled in quadrant C,574,587,592,-1.81,-0.89,-0.53,10514.20026,10528.11446,10508.84864,3001.56686,3026.285066,2991.894518,437095.1127,124780.7891,437.0951127,124.7807891,19236.55591,2046.404941,102,20,0.000408481,4.68E-06,0.000408,4.68E-06,408.480514,4.678820522
Loiza,11/20/2020,LO-B4,1,LO Air 112020,9:44,58.9,1809,20,20,20,NA,NA,NA,,682,742,836,4.01,6.73,8.15,2951.034968,3015.254367,2850.424578,1460.583484,1533.663397,1422.431471,122680.0832,60719.20707,122.6800832,60.71920707,5399.150461,995.7949959,102,20,0.000114504,2.28E-06,0.000115,2.28E-06,114.5040605,2.276984403
Loiza,11/20/2020,LO-B6,2,LO Air 112020,9:44,71.12,2180,20,20,20,NA,NA,NA,,682,742,836,4.01,6.73,8.15,3719.124915,3783.344314,3618.514524,1801.125742,1874.205655,1762.973728,154611.0293,74876.19027,154.6110293,74.87619027,6804.431399,1227.96952,102,20,0.000144355,2.81E-06,0.000144,2.81E-06,144.3553861,2.807822537
Loiza,11/20/2020,LO-D1,1,LO Air 112020,9:44,53.96,2378,20,20,20,NA,NA,NA,,682,742,836,4.01,6.73,8.15,4129.04893,4193.268328,4028.438539,1322.917465,1395.997378,1284.765452,171652.3429,54996.17131,171.6523429,54.99617131,7554.419609,901.9372094,102,20,0.000160287,2.06E-06,0.00016,2.06E-06,160.2868214,2.062390263
Loiza,11/20/2020,LO-D2,2,LO Air 112020,9:44,65.44,2350,20,20,20,NA,NA,NA,,682,742,836,4.01,6.73,8.15,4071.079877,4135.299276,3970.469487,1642.837687,1715.917601,1604.685674,169242.4601,68295.85765,169.2424601,68.29585765,7448.36067,1120.052066,102,20,0.000158034,2.56E-06,0.000158,2.56E-06,158.0338911,2.561082717
Loiza,11/20/2020,LO-D3,3,LO Air 112020,9:44,58.78,2279,20,20,20,NA,NA,NA,,682,742,836,4.01,6.73,8.15,3924.086923,3988.306321,3823.476532,1457.23937,1530.319284,1419.087357,163131.6861,60580.18596,163.1316861,60.58018596,7179.425504,993.5150497,102,20,0.000152321,2.27E-06,0.000152,2.27E-06,152.3211037,2.271771589
Loiza,6/28/2021,LO-C1,1,LO Air 062821,9:37,232.45,3988,20,20,20,30.08,82,NA,,556,657,701,-2.06,-2.04,-1.59,7553.246935,7661.349589,7506.15271,6532.637084,6533.174436,6520.546657,314002.7049,271574.0306,314.0027049,271.5740306,13819.25904,4453.814102,102,20,0.000293387,1.02E-05,0.000293,1.02E-05,293.3874026,10.18302361
Loiza,6/28/2021,LO-C2,2,LO Air 062821,9:37,238.28,3600,20,20,20,30.08,82,NA,,556,657,701,-2.06,-2.04,-1.59,6749.961492,6858.064146,6702.867267,6695.105281,6695.642633,6683.014854,280608.6157,278328.1396,280.6086157,278.3281396,12349.58518,4564.58149,102,20,0.000262168,1.04E-05,0.000262,1.04E-05,262.1682264,10.43627945
Loiza,6/28/2021,LO-C3,3,LO Air 062821,9:37,234.7,3843,20,20,20,30.08,82,NA,,556,657,701,-2.06,-2.04,-1.59,7253.050056,7361.15271,7205.95583,6595.339218,6595.876571,6583.248791,301522.955,274180.6765,301.522955,274.1806765,13270.02525,4496.563094,102,20,0.00028172,1.03E-05,0.000282,1.03E-05,281.7204424,10.28076386
Loiza,6/28/2021,LO-D1,1,LO Air 062821,9:47,160.55,3338,20,20,20,30.08,82,NA,Could be switched around with LO-Air,556,657,701,-2.06,-2.04,-1.59,6207.536786,6315.63944,6160.44256,4528.955553,4529.492905,4516.865126,258058.9987,188277.2145,258.0589987,188.2772145,11357.17653,3087.746319,102,20,0.000241087,7.06E-06,0.000241,7.06E-06,241.0872363,7.059679757
Loiza,6/28/2021,LO-D2,2,LO Air 062821,9:47,146.67,3276,20,20,20,30.08,82,NA,Could be switched around with LO-Air,556,657,701,-2.06,-2.04,-1.59,6079.176741,6187.279395,6032.082515,4142.153054,4142.690406,4130.062627,252722.8298,172197.106,252.7228298,172.197106,11122.33174,2824.032538,102,20,0.000236099,6.46E-06,0.000236,6.46E-06,236.0986051,6.456731041
Loiza,6/28/2021,LO-D3,3,LO Air 062821,9:47,91.92,2515,20,20,20,30.08,82,NA,Could be switched around with LO-Air,556,657,701,-2.06,-2.04,-1.59,4503.660704,4611.763358,4456.566479,2616.401123,2616.938475,2604.310696,187225.66,108768.7238,187.22566,108.7687238,8239.801299,1783.80707,102,20,0.000174867,4.08E-06,0.000175,4.08E-06,174.8671797,4.078385061
Loiza,6/28/2021,LO-B2,,,9:44,NA,NA,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,NA,NA,NA,NA,NA,NA
Loiza,6/28/2021,LO-B3,,,9:44,NA,NA,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,NA,NA,NA,NA,NA,NA
Manantial,6/16/2021,VB-01,1,VB Air 061621,10:10,3.85,6398,20,20,20,30.05,84,73,,568,571,658,-1.85,-1.64,-1.49,12634.77391,12637.98488,12541.65578,151.3532074,156.9954065,147.3230651,525251.3544,6292.037968,525.2513544,6.292037968,23116.31211,103.1894227,102,20,0.000490899,2.36E-07,0.000491,2.36E-07,490.8992673,0.235875382
Manantial,6/16/2021,VB-02,2,VB Air 061621,10:10,3.95,6890,20,20,20,30.05,84,73,,568,571,658,-1.85,-1.64,-1.49,13653.37298,13656.58395,13560.25485,154.1399689,159.7821681,150.1098266,567596.4366,6407.888895,567.5964366,6.407888895,24979.91917,105.0893779,102,20,0.000530486,2.40E-07,0.00053,2.40E-07,530.48647,0.240219393
Manantial,6/16/2021,VB-03,3,VB Air 061621,10:10,3.52,6035,20,20,20,30.05,84,73,,568,571,658,-1.85,-1.64,-1.49,11883.24655,11886.45752,11790.12842,142.1568943,147.7990935,138.1267521,494008.9462,5909.729911,494.0089462,5.909729911,21741.33372,96.91957055,102,20,0.000461692,2.22E-07,0.000462,2.22E-07,461.691636,0.221540146
Manantial,6/30/2021,VB-01-0630,1,VB Air 063021,13:20,3.69,6040,20,20,20,NA,NA,NA,,542,555,1039,-1.83,-1.74,-1.34,11910.72334,11924.63754,11392.68686,149.5811504,151.9992358,138.8341044,495151.2081,6218.370224,495.1512081,6.218370224,21791.60467,101.9812717,102,20,0.000462764,2.33E-07,0.000463,2.33E-07,462.7635153,0.233109779
Manantial,6/30/2021,VB-02-0630,2,VB Air 063021,13:20,2.18,6131,20,20,20,NA,NA,NA,,542,555,1039,-1.83,-1.74,-1.34,12099.12276,12113.03696,11581.08628,107.5010515,109.9191369,96.75400544,502983.327,4469.021236,502.983327,4.469021236,22136.29622,73.29194827,102,20,0.000470086,1.68E-07,0.00047,1.68E-07,470.0855386,0.167515214
Manantial,6/30/2021,VB-03-0630,3,VB Air 063021,13:20,3.44,6801,20,20,20,NA,NA,NA,,542,555,1039,-1.83,-1.74,-1.34,13486.23937,13500.15358,12968.20289,142.6142466,145.032332,131.8672006,560648.3779,5928.742908,560.6483779,5.928742908,24674.13511,97.23138369,102,20,0.000523995,2.22E-07,0.000524,2.22E-07,523.9949407,0.222249752
Palmas,11/25/2020,PA-B1,1,PA Air 112520,9:33,999.53,4665,20,20,20,NA,NA,NA,,756,777,822,3.22,4.77,5.1,8826.417017,8848.893806,8778.252468,27726.35888,27768.00368,27717.49257,366930.7837,1152636.973,366.9307837,1152.636973,16148.62379,18903.24636,102,20,0.000342838,4.32E-05,0.000343,4.32E-05,342.8382596,43.22007672
Palmas,11/25/2020,PA-B2,2,PA Air 112520,9:33,734.6,4327,20,20,20,NA,NA,NA,,756,777,822,3.22,4.77,5.1,8126.647739,8149.124529,8078.483191,20343.39159,20385.03639,20334.52528,337840.0566,845713.1138,337.8400566,845.7131138,14868.34089,13869.69507,102,20,0.000315642,3.17E-05,0.000316,3.17E-05,315.6421731,31.71148858
Palmas,11/25/2020,PA-B3,3,PA Air 112520,9:33,972.57,5621,20,20,20,NA,NA,NA,,756,777,822,3.22,4.77,5.1,10805.6461,10828.12289,10757.48155,26975.04797,27016.69278,26966.18166,449211.0654,1121403.563,449.2110654,1121.403563,19769.77899,18391.01844,102,20,0.00041976,4.20E-05,0.00042,4.20E-05,419.7597348,42.04893137
Palmas,11/25/2020,PA-C1,1,PA Air 112520,10:01,NA,NA,20,20,20,NA,NA,NA,,756,777,822,3.22,4.77,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,NA,NA,NA,NA,NA,NA
Palmas,11/25/2020,PA-C2,2,PA Air 112520,10:01,NA,NA,20,20,20,NA,NA,NA,,756,777,822,3.22,4.77,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,NA,NA,NA,NA,NA,NA
Palmas,11/25/2020,PA-C3,3,PA Air 112520,10:01,NA,NA,20,20,20,NA,NA,NA,,756,777,822,3.22,4.77,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,NA,NA,NA,NA,NA,NA
Palmas,11/25/2020,PA-D1,1,PA Air 112520,10:40,818.74,4040,20,20,20,NA,NA,NA,,756,777,822,3.22,4.77,5.1,7532.46495,7554.94174,7484.300401,22688.17273,22729.81753,22679.30642,313138.7586,943190.0833,313.1387586,943.1900833,13781.23677,15468.31737,102,20,0.00029255,3.54E-05,0.000293,3.54E-05,292.5496382,35.36653937
Palmas,11/25/2020,PA-D2,2,PA Air 112520,10:40,904.21,4776,20,20,20,NA,NA,NA,,756,777,822,3.22,4.77,5.1,9056.222904,9078.699694,9008.058355,25070.0178,25111.6626,25061.15149,376484.2474,1042207.87,376.4842474,1042.20787,16569.07173,17092.20907,102,20,0.00035177,3.91E-05,0.000352,3.91E-05,351.7695187,39.07936551
Palmas,11/25/2020,PA-D3,3,PA Air 112520,10:40,812.07,4110,20,20,20,NA,NA,NA,,756,777,822,3.22,4.77,5.1,7677.387582,7699.864371,7629.223033,22502.29574,22543.94054,22493.42942,319163.4654,935462.8265,319.1634654,935.4628265,14046.38411,15341.59035,102,20,0.000298182,3.51E-05,0.000298,3.51E-05,298.1819638,35.07679384
Palmas,6/11/2021,PA-B1,1,PA Air 061121,14:05,215.49,7181,20,20,20,30.01,82,NA,Different location than November sampling,488,680,862,0.09,1.03,2.14,14139.17182,14344.67389,13944.37298,5977.518752,6002.77431,5947.695699,587792.0097,248496.7157,587.7920097,248.4967157,25868.72635,4075.346138,102,20,0.000549339,9.32E-06,0.000549,9.32E-06,549.3394041,9.317805546
Palmas,6/11/2021,PA-B2,2,PA Air 061121,14:05,450.5,7527,20,20,20,30.01,82,NA,Different location than November sampling,488,680,862,0.09,1.03,2.14,14855.50368,15061.00576,14660.70484,12526.687,12551.94255,12496.86394,617571.2748,520757.9778,617.5712748,520.7579778,27179.3118,8540.430836,102,20,0.000577179,1.95E-05,0.000577,1.95E-05,577.1791849,19.52666562
Palmas,6/11/2021,PA-B3,3,PA Air 061121,14:05,423.8,7474,20,20,20,30.01,82,NA,Different location than November sampling,488,680,862,0.09,1.03,2.14,14745.77655,14951.27862,14550.9777,11782.62167,11807.87723,11752.79862,613009.711,489825.7805,613.009711,489.8257805,26978.55738,8033.1428,102,20,0.000572915,1.84E-05,0.000573,1.84E-05,572.9147098,18.3668147
Palmas,6/11/2021,PA-D1,1,PA Air 061121,14:30,423.83,6633,20,20,20,30.01,82,NA,Different location than November sampling,488,680,862,0.09,1.03,2.14,13004.63465,13210.13672,12809.8358,11783.4577,11808.71326,11753.63465,540627.162,489860.5358,540.627162,489.8605358,23793.0014,8033.712786,102,20,0.000505246,1.84E-05,0.000505,1.84E-05,505.2463409,18.3681179
Palmas,6/11/2021,PA-D2,2,PA Air 061121,14:30,420.35,6631,20,20,20,30.01,82,NA,Different location than November sampling,488,680,862,0.09,1.03,2.14,13000.494,13205.99607,12805.69516,11686.4784,11711.73396,11656.65535,540455.0276,485828.9235,540.4550276,485.8289235,23785.42576,7967.594346,102,20,0.000505085,1.82E-05,0.000505,1.82E-05,505.0854173,18.21694632
Palmas,6/11/2021,PA-D3,3,PA Air 061121,14:30,472.23,6664,20,20,20,30.01,82,NA,Different location than November sampling,488,680,862,0.09,1.03,2.14,13068.81467,13274.31674,12874.01583,13132.25027,13157.50583,13102.42722,543295.2465,545932.3841,543.2952465,545.9323841,23910.4238,8953.2911,102,20,0.000507741,2.05E-05,0.000508,2.05E-05,507.7406565,20.47061919
Tortuguero,6/16/2021,TO-1,1,TO Air 061621,11:20,12.31,6348,20,20,20,30.05,86,72,,491,559,780,-1.89,-1.49,-1.16,12544.10162,12616.88361,12307.56017,383.0830895,393.8301356,374.2167765,521481.9367,15925.48573,521.4819367,15.92548573,22950.42003,261.177966,102,20,0.000487378,5.97E-07,0.000487,5.97E-07,487.3783553,0.597101484
Tortuguero,6/16/2021,TO-3,3,TO Air 061621,11:20,11.59,6617,20,20,20,30.05,86,72,,491,559,780,-1.89,-1.49,-1.16,13101.01859,13173.80058,12864.47714,363.0184066,373.7654527,354.1520936,544634.0243,15091.35906,544.6340243,15.09135906,23969.34341,247.4982886,102,20,0.000509023,5.66E-07,0.000509,5.66E-07,509.022578,0.565824605
Tortuguero,6/30/2021,TO-01-0630,1,TO Air 063021,14:50,96.34,4942,20,20,20,NA,NA,NA,,495,577,582,-2.03,-1.62,-1.29,9613.961234,9701.727746,9608.609618,2728.291583,2739.307305,2719.42527,399670.4805,113420.221,399.6704805,113.420221,17589.49785,1860.091625,102,20,0.000373496,4.25E-06,0.000373,4.25E-06,373.495806,4.252814122
Tortuguero,6/30/2021,TO-02-0630,2,TO Air 063021,14:50,94.93,5261,20,20,20,NA,NA,NA,,495,577,582,-2.03,-1.62,-1.29,10274.39437,10362.16088,10269.04275,2688.998246,2700.013968,2680.131933,427125.9302,111786.723,427.1259302,111.786723,18797.81219,1833.302257,102,20,0.000399163,4.19E-06,0.000399,4.19E-06,399.1631184,4.191563568
Tortuguero,6/30/2021,TO-03-0630,3,TO Air 063021,14:50,91.1,4901,20,20,20,NA,NA,NA,,495,577,582,-2.03,-1.62,-1.29,9529.077979,9616.84449,9523.726362,2582.26528,2593.281002,2573.398967,396141.7237,107349.6325,396.1417237,107.3496325,17434.19726,1760.533973,102,20,0.000370197,4.03E-06,0.00037,4.03E-06,370.1968725,4.025187949
,12/15/2020,Room blank 1,,,,2.03,899,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,5.54E-05,1.08E-08,5.54E-05,1.08E-08,55.38665335,0.010764349
,12/15/2020,Room blank 2,,,,3.22,1033,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,6.62E-05,6.25E-08,6.62E-05,6.25E-08,66.16853378,0.062458079
,12/15/2020,Room blank 3,,,,2.52,779,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,4.57E-05,3.21E-08,4.57E-05,3.21E-08,45.73123805,0.032050003
,12/15/2020,Room blank 4,,,,3.04,1297,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,8.74E-05,5.46E-08,8.74E-05,5.46E-08,87.41044745,0.05463886
,12/15/2020,Test 1,,,,2.44,923,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,5.73E-05,2.86E-08,5.73E-05,2.86E-08,57.31773641,0.028574794
,12/15/2020,Test 2,,,,2.39,719,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,4.09E-05,2.64E-08,4.09E-05,2.64E-08,40.9035304,0.026402789
,12/15/2020,Test 3,,,,2.97,893,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,5.49E-05,5.16E-08,5.49E-05,5.16E-08,54.90388259,0.051598052
,6/2/2021,Room blank 1,,,,1.12,882,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,5.40E-05,-2.88E-08,5.40E-05,-2.88E-08,54.01880285,-0.02876615
,6/2/2021,Room blank 2,,,,-2.38,484,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,2.20E-05,-1.81E-07,2.20E-05,-1.81E-07,21.99500875,-0.180806532
,6/2/2021,Room blank 3,,,,-1.98,525,20,20,20,NA,NA,NA,,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,2.53E-05,-1.63E-07,2.53E-05,-1.63E-07,25.29394232,-0.163430489
,6/2/2021,Test 1,,,,-1.3,593,20,20,20,NA,NA,NA,Travel test,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,3.08E-05,-1.34E-07,3.08E-05,-1.34E-07,30.76534432,-0.133891214
,6/2/2021,Test 2,,,,-1.9,671,20,20,20,NA,NA,NA,Travel test,NA,405,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,20,3.70E-05,-1.60E-07,3.70E-05,-1.60E-07,37.04136427,-0.15995528
